zone_climatique;annee_construction_isolation/gte;annee_construction_isolation/lte;effet_joule;u;tv_upb_id
H1a|H1b|H1c;;1974;1;2;1
H1a|H1b|H1c;;1974;0;2;2
H2a|H2b|H2c|H2d;;1974;1;2;3
H2a|H2b|H2c|H2d;;1974;0;2;4
H3;;1974;1;2;5
H3;;1974;0;2;6
H1a|H1b|H1c;1975;1977;1;0.9;7
H1a|H1b|H1c;1975;1977;0;0.9;8
H2a|H2b|H2c|H2d;1975;1977;1;0.95;9
H2a|H2b|H2c|H2d;1975;1977;0;0.95;10
H3;1975;1977;1;1;11
H3;1975;1977;0;1;12
H1a|H1b|H1c;1978;1982;1;0.8;13
H1a|H1b|H1c;1978;1982;0;0.9;14
H2a|H2b|H2c|H2d;1978;1982;1;0.84;15
H2a|H2b|H2c|H2d;1978;1982;0;0.95;16
H3;1978;1982;1;0.89;17
H3;1978;1982;0;1;18
H1a|H1b|H1c;1983;1988;1;0.55;19
H1a|H1b|H1c;1983;1988;0;0.8;20
H2a|H2b|H2c|H2d;1983;1988;1;0.58;21
H2a|H2b|H2c|H2d;1983;1988;0;0.74;22
H3;1983;1988;1;0.78;23
H3;1983;1988;0;0.89;24
H1a|H1b|H1c;1989;2000;1;0.55;25
H1a|H1b|H1c;1989;2000;0;0.5;26
H2a|H2b|H2c|H2d;1989;2000;1;0.58;27
H2a|H2b|H2c|H2d;1989;2000;0;0.63;28
H3;1989;2000;1;0.5;29
H3;1989;2000;0;0.56;30
H1a|H1b|H1c;2001;2005;1;0.3;31
H1a|H1b|H1c;2001;2005;0;0.3;32
H2a|H2b|H2c|H2d;2001;2005;1;0.3;33
H2a|H2b|H2c|H2d;2001;2005;0;0.3;34
H3;2001;2005;1;0.47;35
H3;2001;2005;0;0.47;36
H1a|H1b|H1c;2006;2012;1;0.27;37
H1a|H1b|H1c;2006;2012;0;0.27;38
H2a|H2b|H2c|H2d;2006;2012;1;0.27;39
H2a|H2b|H2c|H2d;2006;2012;0;0.27;40
H3;2006;2012;1;0.4;41
H3;2006;2012;0;0.4;42
H1a|H1b|H1c;2013;2021;1;0.23;43
H1a|H1b|H1c;2013;2021;0;0.23;44
H2a|H2b|H2c|H2d;2013;2021;1;0.23;45
H2a|H2b|H2c|H2d;2013;2021;0;0.23;46
H3;2013;2021;1;0.25;47
H3;2013;2021;0;0.25;48
H1a|H1b|H1c;2022;;1;0.23;43
H1a|H1b|H1c;2022;;0;0.23;44
H2a|H2b|H2c|H2d;2022;;1;0.23;45
H2a|H2b|H2c|H2d;2022;;0;0.23;46
H3;2022;;1;0.25;47
H3;2022;;0;0.25;48
